"subID","interviewyear","household_number_in_house","unrelated_subset","interview_age","sex","LQ","handnessfactor","race_ethnicity","nih_fluidcogcomp_unadjusted","nih_fluidcogcomp_ageadjusted","nih_crycogcomp_unadjusted","nih_crycogcomp_ageadjusted","nih_cogfuncogcomp_unadj","nih_cogfuncogcomp_ageadj","nih_eccogcomp_unadjusted","nih_eccogcomp_ageadjusted","nih_totalcogcomp_unadjusted","nih_totalcogcomp_ageadjusted","site","mean_fd","age","interview_date","annual_fam_inc","povertyline","income.adj","ICV"
"HCD2333340",2018,"6","TRUE",109,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WashU",0.4710477961,9.08333333333333,"2018/4/1",250000,33740,7.40960284528749,1557078.56
"HCD2336346",2017,"6","TRUE",244,"M",78.9473684210526,1,"Asian",100,80,119,134,NA,NA,113,106,111,108,"UCLA",0.6472028976,20.3333333333333,"2017/7/1",-999999,32960,NA,1788725.44
"HCD2339049",2018,"5","TRUE",227,"F",100,1,"Hispanic",100,77,104,109,NA,NA,94,73,102,92,"Harvard",0.5538891243,18.9166666666667,"2018/10/1",30000,29420,1.01971447994562,1329478.58
"HCD2342745",2017,"4","TRUE",144,"F",100,1,"White",107,108,110,146,NA,NA,106,118,109,135,"Harvard",0.5559725255,12,"2017/7/1",62000,24600,2.52032520325203,1491704.12
"HCD2344244",2018,"4","FALSE",116,"F",100,1,"Black",79,78,83,97,NA,NA,83,90,77,85,"UCLA",0.6564360026,9.66666666666667,"2018/1/1",80000,25100,3.18725099601594,1273120.15
"HCD2353245",2018,"4","TRUE",233,"M",100,1,"Black",96,76,94,86,NA,NA,89,68,93,78,"Harvard",0.9715425839,19.4166666666667,"2018/10/1",-999999,25100,NA,1653137.69
"HCD2363450",2017,"7","TRUE",113,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",1.1682353719,9.41666666666667,"2017/7/1",5e+05,37140,13.4625740441572,1435800.72
"HCD2365454",2018,"4","TRUE",229,"M",100,1,"White",104,81,104,106,NA,NA,100,79,104,92,"Harvard",0.7709827996,19.0833333333333,"2018/4/1",350000,25100,13.9442231075697,1725108.68
"HCD2370952",2018,"5","TRUE",104,"F",100,1,"White",92,107,88,120,NA,NA,89,109,88,116,"UCLA",0.6936372317,8.66666666666667,"2018/4/1",80000,29420,2.71923861318831,1474002
"HCD2378463",2017,"4","TRUE",168,"M",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.77419652,14,"2017/4/1",1e+05,24600,4.0650406504065,1645452.55
"HCD2380753",2017,"4","TRUE",106,"F",100,1,"White",98,122,80,106,NA,NA,95,127,86,117,"Harvard",0.4736456003,8.83333333333333,"2017/10/1",150000,24600,6.09756097560976,1489877.4
"HCD2383456",2017,"4","TRUE",138,"F",100,1,"White",95,86,98,127,NA,NA,94,92,95,107,"Harvard",0.6690796766,11.5,"2017/4/1",110000,24600,4.47154471544715,1737978.53
"HCD2383658",2017,"6","TRUE",221,"M",100,1,"White",118,102,111,129,NA,NA,110,97,117,118,"UCLA",0.6473648134,18.4166666666667,"2017/10/1",-999999,32960,NA,1755854.5
"HCD2400632",2017,"6","FALSE",189,"M",100,1,"White",115,111,91,89,NA,NA,102,93,103,100,"Harvard",0.4765925425,15.75,"2017/4/1",80000,32960,2.42718446601942,1752488.14
"HCD2427753",2018,"4","TRUE",233,"M",100,1,"Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.4575321207,19.4166666666667,"2018/1/1",80000,25100,3.18725099601594,1749976.05
"HCD2428755",2017,"2","TRUE",202,"F",100,1,"Black",110,99,101,106,NA,NA,110,105,105,103,"WashU",1.0190746184,16.8333333333333,"2017/7/1",62000,16240,3.81773399014778,1447757.53
"HCD2449763",2018,"4","TRUE",186,"M",100,1,"White",107,97,106,122,NA,NA,109,111,107,111,"WashU",0.5200807543,15.5,"2018/1/1",403000,25100,16.0557768924303,1870484.51
"HCD2462654",2019,"5","TRUE",182,"M",100,1,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.547116971,15.1666666666667,"2019/7/1",165000,30170,5.46900894928737,1738653.63
"HCD2478669",2018,"5","FALSE",135,"M",60,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.5622544063,11.25,"2018/4/1",116000,29420,3.94289598912305,1862300.74
"HCD2483561",2017,"3","TRUE",226,"F",50,3,"White",125,119,114,122,NA,NA,122,123,123,124,"Harvard",0.4349667737,18.8333333333333,"2017/4/1",0,20420,0,1648278.75
"HCD2483662",2018,"5","TRUE",102,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.7524775536,8.5,"2018/4/1",116000,29420,3.94289598912305,1619258.74
"HCD2485666",2018,"4","TRUE",117,"F",100,1,"White",77,75,91,122,NA,NA,79,88,81,98,"UCLA",0.8219935105,9.75,"2018/4/1",150000,25100,5.97609561752988,1430857.72
