"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_ContA_PFCl_4",293,"RH_DorsAttn_PrCv_1","DorsAttn","7Networks_RH_DorsAttn_PrCv_1",333,"ContA",238.9,263,119.8,133,266,263
"17Networks_RH_TempPar_6",294,"RH_SalVentAttn_TempOccPar_1","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_1",396,"TempPar",223,231,112.3,118.5,392,231
"17Networks_RH_TempPar_7",295,"RH_SalVentAttn_TempOccPar_2","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_2",397,"TempPar",210.6,204,104.7,102,394,204
"17Networks_RH_TempPar_10",296,"RH_SalVentAttn_TempOccPar_3","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_3",400,"TempPar",227.2,238,114.6,123.5,400,238
"17Networks_RH_SalVentAttnA_ParOper_1",297,"RH_SalVentAttn_TempOccPar_4","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_4",285,"SalVentAttnA",191.9,178,95.9,88,170,178
"17Networks_RH_SalVentAttnA_ParOper_2",298,"RH_SalVentAttn_TempOccPar_5","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_5",286,"SalVentAttnA",201.4,193,99.9,90,172,193
"17Networks_RH_SalVentAttnA_ParOper_3",299,"RH_SalVentAttn_TempOccPar_6","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_6",287,"SalVentAttnA",240.2,265,119.5,131.5,174,265
"17Networks_RH_SalVentAttnB_IPL_1",300,"RH_SalVentAttn_TempOccPar_7","SalVentAttn","7Networks_RH_SalVentAttn_TempOccPar_7",304,"SalVentAttnB",264.8,310,132.9,156.5,208,310
"17Networks_RH_SalVentAttnA_PrC_1",301,"RH_SalVentAttn_PrC_1","SalVentAttn","7Networks_RH_SalVentAttn_PrC_1",288,"SalVentAttnA",219.3,222.5,109.9,115,176,222
"17Networks_RH_SalVentAttnA_Ins_1",302,"RH_SalVentAttn_FrOperIns_1","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_1",289,"SalVentAttnA",225.1,237,113.3,121,178,237
"17Networks_RH_SalVentAttnA_Ins_2",303,"RH_SalVentAttn_FrOperIns_2","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_2",290,"SalVentAttnA",241.3,267.5,120.9,135,180,267
"17Networks_RH_SalVentAttnA_Ins_3",304,"RH_SalVentAttn_FrOperIns_3","SalVentAttn","7Networks_RH_SalVentAttn_FrOperIns_3",291,"SalVentAttnA",242.8,276,121.4,136,182,276
